EPOCH,MSE,NODE0_WEIGHT0,NODE0_BIAS,NODE1_WEIGHT0,NODE1_BIAS,NODE2_WEIGHT0,NODE2_BIAS,NODE3_WEIGHT0,NODE3_BIAS,NODE4_WEIGHT0,NODE4_BIAS,NODE5_WEIGHT0,NODE5_BIAS,NODE6_WEIGHT0,NODE6_BIAS,NODE7_WEIGHT0,NODE7_BIAS,NODE8_WEIGHT0,NODE8_BIAS,NODE9_WEIGHT0,NODE9_BIAS,NODE10_WEIGHT0,NODE10_BIAS
0,3.1021971575063967,0.8500704316299923,0.5130325026641815,0.5837719392067183,0.9339402991217528,0.8460457573274173,0.47719056716650243,0.08966785767241459,0.2810208514716568,0.77312439454653,0.3766775281083353,0.4555652146850041,0.4451661849025077,0.10759765091868367,0.7698769091320452,0.8445816517992437,0.15587783139123867,0.4186387752194918,0.8212782185972946,0.7440635821503869,0.3061020954393723,0.45055276679283307,0.5154019185609704
1,0.150005057022079,0.8172002796721971,-2.5482239754072613,-0.443959196722433,-2.313990146013741,-0.0709737106398026,-2.5235808714010863,-0.8264884062011548,-2.52380198438643,-0.08697789729935801,-2.561800322212816,-0.6761117598206088,-2.4791514589100583,-0.8923092111953808,-2.3710791512145617,0.07098505709975202,-2.6497604132526873,-0.5221117266232176,-2.3722142646711193,-0.2108638787542773,-2.5746959065151462,-0.5804286824413403,-2.471724858227915
2,0.10287719984539911,0.8173752013485823,-2.781515166941684,-0.462171226954166,-2.5874535144382036,-0.0867460613642607,-2.760686593067544,-0.841415190441874,-2.7518457237789544,-0.10082991576106191,-2.7917846885363633,-0.6936109532571433,-2.716129390826569,-0.9088204785068942,-2.627382497773989,0.05720032025759077,-2.865820550401244,-0.5386101561559308,-2.6331383559027763,-0.22609304972673075,-2.800711775915384,-0.5977973760527262,-2.7115670219582895
3,0.09136937365316253,0.8217550523433609,-2.8783134544424818,-0.4687053771435992,-2.702603236537122,-0.09252804315111815,-2.862005954164889,-0.8467623148524351,-2.850463965962218,-0.10595403286746384,-2.890427739685081,-0.69995558083936,-2.817994436853579,-0.9148411480373573,-2.736550488864582,0.05206097275540098,-2.959050587072803,-0.5446155123422547,-2.743698661498237,-0.23169778526760013,-2.897950236085511,-0.6041154231603207,-2.8143919062045852
4,0.0872482586076393,0.8277084204960091,-2.9269605015421334,-0.47190139508313494,-2.763086215289741,-0.09538073111372063,-2.9155629243213785,-0.8492812518607402,-2.9029025504812824,-0.10849266580629587,-2.9426508655349877,-0.7030715425035793,-2.8719538196638723,-0.9178050618941479,-2.7941563519943875,0.04950422780097853,-3.008536983474646,-0.5475700484688207,-2.8019228094864057,-0.23446770669595224,-2.94949381531494,-0.6072220611196666,-2.8688046098376185
5,0.08545832553650483,0.8344355864837758,-2.952685905764381,-0.47367506390352154,-2.7978950717803306,-0.09697057703175901,-2.9464834533387205,-0.8505740735846383,-2.9333233398057934,-0.10991051945610737,-2.9728243234116127,-0.7048041643531242,-2.9031369090017423,-0.9194550964366172,-2.8273835449153375,0.04807066761079942,-3.037166697198828,-0.5492143935209274,-2.8354747574649064,-0.23601273880046386,-2.9792926676288567,-0.6089504720423092,-2.900234525810887
6,0.0845795289192508,0.8416020498376996,-2.965935323406608,-0.4747261299694688,-2.818890293731613,-0.09791464101628478,-2.9651615215345024,-0.851235712257951,-2.951800640677482,-0.11075334435592737,-2.9910576988303186,-0.7058318717935735,-2.921982066392274,-0.9204343830036729,-2.8474459446698153,0.047214236953475854,-3.054478099857945,-0.5501901718726511,-2.8557242098974576,-0.23693057233156883,-2.997304818496807,-0.6099759573503044,-2.9192245569539628
7,0.08410981885672474,0.8490427949692805,-2.9718807051579166,-0.47537372722319693,-2.831894378092885,-0.09849670703353404,-2.9767351903841948,-0.8515404488183225,-2.9633367601404874,-0.111273168871802,-3.0023569510150776,-0.7064652796575865,-2.933660911730011,-0.921038061292958,-2.8598760436038155,0.04668218619457272,-3.0652079472987355,-0.5507916588506715,-2.86826853868884,-0.23749654159343395,-3.008467882508256,-0.610608054528107,-2.930992406489376
8,0.08384319718661623,0.8566681492167185,-2.9733571628121567,-0.47578328552815,-2.840077329717094,-0.09886467708250557,-2.9840143490410203,-0.8516316096112241,-2.9706746056043523,-0.11160171200284402,-3.0094626773546667,-0.7068658003180945,-2.9410054688721017,-0.9214197362934453,-2.8676953629578126,0.04634224376759765,-3.071954279867796,-0.5511719549018269,-2.8761606711134142,-0.237854302817057,-3.015487345663755,-0.611007730358993,-2.938393410568111
9,0.08368532006373958,0.8644264369712066,-2.9720178488749642,-0.47604761716901617,-2.8452767761167874,-0.09910182473054614,-2.98863261182817,-0.8515901306961133,-2.97541135642245,-0.11181327552264926,-3.0139693165279984,-0.7071241379232254,-2.945663582673408,-0.9216658124646842,-2.872658959503736,0.04611974073881742,-3.0762304271255334,-0.5514171612405571,-2.8811724263621383,-0.23808479831309567,-3.0199380787962444,-0.6112654798240965,-2.943088270182452
10,0.08358906538116498,0.87228682511654,-2.9688646218050594,-0.47622147648123475,-2.848600566646881,-0.09925739208561159,-2.99157670707737,-0.8514640257955113,-2.9785125984832006,-0.11195185162329645,-3.0168403696511943,-0.7072938595731016,-2.9486310971301273,-0.9218273519890615,-2.8758262718588616,0.045970451234286835,-3.0789515982487434,-0.5515781534548769,-2.884372788749125,-0.2382359149198346,-3.0227720940711476,-0.6114347623089731,-2.9460803240116746
11,0.08352920664454443,0.8802305806628438,-2.9645195902526336,-0.47633822541247683,-2.8507334063531715,-0.09936142879458475,-2.993457239193049,-0.851282691338259,-2.98057613284528,-0.11204430869155453,-3.018672243371126,-0.7074076264396372,-2.9505244637313193,-0.9219355025784729,-2.8778526353027556,0.045867360723420424,-3.0806845988100937,-0.5516859625092768,-2.88642276914476,-0.2383368846359956,-3.0245788213854885,-0.6115481796001685,-2.947990552990833
12,0.08349148540310607,0.8882462701185585,-2.959375003650432,-0.4764186193573208,-2.8521052580430717,-0.09943264859122258,-2.9946579515797085,-0.8510644908536487,-2.9819777321092187,-0.11210738855198422,-3.0198398304434892,-0.7074857672055364,-2.951731184299125,-0.9220096566064171,-2.8791497956055347,0.04579363672951045,-3.081785834549949,-0.5517599068997143,-2.887737585686872,-0.23840591585841403,-3.025728823270108,-0.6116260259808162,-2.9492092612010175
13,0.08346750539342437,0.8963269795428717,-2.953680500591995,-0.4764757458294165,-2.852988888711718,-0.09948285952712055,-2.9954224202913267,-0.8508210404419999,-2.9829559237177983,-0.11215165887046855,-3.020581119141667,-0.7075411041750368,-2.9524972551265356,-0.9220620481654418,-2.8799790570010853,0.045738655513732365,-3.082481607693147,-0.5518121736160099,-2.8885807073900516,-0.23845449938865093,-3.0264573620642046,-0.6116811031196653,-2.9499842052012104
14,0.08345217300501037,0.904468643924132,-2.9475957886205078,-0.47651792942806626,-2.853558481775248,-0.09951957572346985,-2.995906243263041,-0.8505597420715671,-2.9836630763727694,-0.11218384606503959,-3.0210481505730504,-0.7075817948876503,-2.952979834765577,-0.9221004615703217,-2.8805073227703932,0.04569565588164431,-3.0829165145542596,-0.5518505167922837,-2.8891204038667206,-0.23848994814268243,-3.026914747054461,-0.6117215558746986,-2.9504736602390675
15,0.08344233289303024,0.9126690174366281,-2.9412232528188995,-0.4765504950794019,-2.853925739456507,-0.0995476051141337,-2.9962092277749734,-0.8502853288009525,-2.9841969234731067,-0.11220825474673707,-3.02133845594279,-0.707613058110417,-2.9532797377588715,-0.9221298772423614,-2.880841643514325,0.04566031142791586,-3.083183319581362,-0.5518798974492392,-2.8894645950598643,-0.23851694160269232,-3.0271974026464643,-0.6117525950908298,-2.9507791538240573
16,0.08343600222394197,0.9209270278484027,-2.9346284796552684,-0.4765768613496249,-2.854162491481916,-0.09957003498999129,-2.996395564961803,-0.8500008276599607,-2.9846203257593658,-0.11222764930975093,-3.021514764891649,-0.7076382445649183,-2.953461805768222,-0.9221534930560848,-2.8810508652162428,0.0456298437942997,-3.0833416904196462,-0.5519035009641253,-2.8896826829811157,-0.23853848470371772,-3.0273673484070285,-0.6117775664862775,-2.950965984709049
17,0.08343192292820856,0.9292423672353799,-2.927853318322185,-0.476599228103347,-2.8543150093220038,-0.0995888523211679,-2.9965066103219327,-0.8497081683151969,-2.9849737911094714,-0.11224380904120722,-3.021617492397162,-0.7076595105967884,-2.95356781460426,-0.9221733670738426,-2.8811793406206667,0.04560246439468721,-3.083430071002512,-0.5519233773379231,-2.8898193772181324,-0.23855651146795703,-3.0274645426279325,-0.6117986232237783,-2.951076222537481
18,0.08342929167388068,0.9376152306651427,-2.920924253691763,-0.47661901311881766,-2.8544131342706844,-0.09960533780983775,-2.996569036921146,-0.8494085715016849,-2.9852834604402636,-0.11225788084153426,-3.021672705401731,-0.7076782460020509,-2.9536247089765397,-0.9221908257833199,-2.881255675152714,0.04557701976570329,-3.083473257775159,-0.5519408478537295,-2.88990351271229,-0.23857226849559318,-3.0275147580606325,-0.6118171530649212,-2.9511370012318996
19,0.08342759334150335,0.9460461486566741,-2.9138577994179036,-0.4766371310305638,-2.8544761256956033,-0.09962031772343613,-2.9966000604211804,-0.8491027984626213,-2.9855662244067376,-0.11227060468257385,-3.0216972285864854,-0.7076953473950319,-2.953649880139625,-0.9222067249732259,-2.88129833130625,0.04555276494233181,-3.0834872557748976,-0.5519567649381374,-2.889953699789436,-0.23858656006470463,-3.027534629675339,-0.6118340513196372,-2.9511658340268827
20,0.08342649671449251,0.9545358795518434,-2.9066639824404206,-0.47665417226106394,-2.8545164193830503,-0.0996343254728311,-2.996610797514519,-0.848791311786177,-2.985833011283703,-0.11228245828049636,-3.021701926290545,-0.7077113935817702,-2.9536545583042106,-0.9222216171031625,-2.8813192307022963,0.045529218085761325,-3.0834824002730192,-0.5519716788780484,-2.8899819553774093,-0.23859990539656778,-3.0275348993927023,-0.6118498959559505,-2.9511740298270723
